sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,cumulative_similarity,cumulative_drop,cumulative_n_deleted,tfidf_original_sim,tfidf_deleted_sim,tfidf_deletion_drop,tfidf_cumulative_sim,tfidf_cumulative_drop,seqmatch_deleted_sim,seqmatch_deletion_drop,seqmatch_cumulative_sim,seqmatch_cumulative_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
366,366,audio__original,THE PORTER DID NOT STIR,5,3,5,NOT,0.0,0.0,0.0,0.47741958498954773,0.12852340936660767,1.3683715012604043,0.47741959162623443,0.7085684067279779,0.49453845463005397,1.0,0.828125,0.171875,0.232421875,0.767578125,5,1.0,1.0000000000000002,-2.220446049250313e-16,0.0836242010007091,0.9163757989992909,1.0,0.0,0.20408163265306123,0.7959183673469388,1.2728125,1.3940625,0.12125,1.3146041382000475
368,368,audio__original,THE PROBLEM WAS SOLVED,4,3,1,SOLVED,0.4285714328289032,0.4285714328289032,0.4285714196279081,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.466796875,0.533203125,0.5234375,0.4765625,1,1.0,0.3418817293789139,0.6581182706210861,0.7637626158259735,0.2362373841740265,0.23880597014925373,0.7611940298507462,0.5230769230769231,0.4769230769230769,1.493125,2.0761875,0.5830625,1.1771900342500885
368,368,audio__original,THE PROBLEM WAS SOLVED,4,1,2,PROBLEM,0.34285715222358704,0.34285715222358704,0.3428571416627908,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.56640625,0.43359375,0.435546875,0.564453125,2,1.0,0.0,1.0,0.3585685828003182,0.6414314171996818,0.2222222222222222,0.7777777777777778,0.2857142857142857,0.7142857142857143,0.5530625,1.042125,0.4890625,1.1771900342500885
368,368,audio__original,THE PROBLEM WAS SOLVED,4,2,3,WAS,0.22857144474983215,0.22857144474983215,0.22857143770930102,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.375,0.625,0.208984375,0.791015625,3,1.0,0.0,1.0,0.7637626158259735,0.2362373841740265,0.2777777777777778,0.7222222222222222,0.576271186440678,0.423728813559322,1.2184375,1.4229375,0.2045,1.1771900342500885
368,368,audio__original,THE PROBLEM WAS SOLVED,4,0,4,THE,0.0,0.0,0.0,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.2001953125,0.7998046875,0.236328125,0.763671875,4,1.0,0.4193139346887675,0.5806860653112325,0.4193139346887675,0.5806860653112325,0.36619718309859156,0.6338028169014085,0.1875,0.8125,0.31675,0.481,0.16425,1.1771900342500885
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,1,1,STORY,0.47219082713127136,0.47219082713127136,0.4721908548038487,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,0.10595703125,0.89013671875,0.06298828125,0.93310546875,1,1.0,0.4166666666666668,0.5833333333333333,0.0,1.0,0.3673469387755102,0.6326530612244898,0.19607843137254902,0.803921568627451,0.646375,0.898875,0.2525,1.351495221666634
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,2,2,OF,0.1882438212633133,0.1882438212633133,0.18824383229527622,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,0.546875,0.44921875,0.0220947265625,0.9739990234375,2,1.0,0.6405126152203487,0.35948738477965125,0.0,1.0,0.6601941747572816,0.3398058252427184,0.12962962962962962,0.8703703703703703,0.949375,0.999375,0.05,1.351495221666634
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,0,3,THE,0.15338535606861115,0.15338535606861115,0.15338536505770597,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,0.1787109375,0.8173828125,0.294921875,0.701171875,3,1.0,0.6963106238227913,0.3036893761772087,0.08333333333333336,0.9166666666666666,0.6464646464646465,0.3535353535353535,0.36363636363636365,0.6363636363636364,0.425,0.577625,0.152625,1.351495221666634
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,3,4,THE,0.11029350012540817,0.11029350012540817,0.11029350658911995,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,0.56640625,0.4296875,0.51953125,0.4765625,4,1.0,0.6405126152203487,0.35948738477965125,0.08703882797784893,0.9129611720221511,0.6601941747572816,0.3398058252427184,0.19801980198019803,0.801980198019802,1.0301875,1.09075,0.0605625,1.351495221666634
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,4,5,GRECIAN,0.07588643580675125,0.07588643580675125,0.07588644025404913,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,0.267578125,0.728515625,0.30078125,0.6953125,5,1.0,0.5400617248673218,0.45993827513267815,0.08703882797784893,0.9129611720221511,0.46153846153846156,0.5384615384615384,0.19801980198019803,0.801980198019802,1.1471875,1.4745625,0.327375,1.351495221666634
373,373,audio__original,THE STORY OF THE GRECIAN KING,6,5,6,KING,0.0,0.0,0.0,0.47219082713127136,0.28394700586795807,2.5084001241261253,0.4721908548038487,0.7786118117083777,0.4568530518921048,0.99609375,-0.0673828125,1.0634765625,0.271484375,0.724609375,6,1.0,0.5222329678670935,0.4777670321329065,0.0,1.0,0.5094339622641509,0.49056603773584906,0.30612244897959184,0.6938775510204082,1.567,1.8575625,0.2905625,1.351495221666634
374,374,audio__original,THE THREE MODES OF MANAGEMENT,5,3,1,OF,0.3529411554336548,0.3529411554336548,0.3529411626408613,0.3529411554336548,0.010380595922470093,1.0303029482056536,0.3529411626408613,0.7163614147794755,0.41384082391703414,1.0,0.60546875,0.39453125,0.34765625,0.65234375,1,1.0,1.0000000000000002,-2.220446049250313e-16,0.7071067811865477,0.2928932188134523,1.0,0.0,0.6486486486486487,0.3513513513513513,1.2300625,1.2800625,0.05,1.3722543863999817
374,374,audio__original,THE THREE MODES OF MANAGEMENT,5,4,2,MANAGEMENT,0.3425605595111847,0.3425605595111847,0.3425605665064151,0.3529411554336548,0.010380595922470093,1.0303029482056536,0.3529411626408613,0.7163614147794755,0.41384082391703414,1.0,0.255859375,0.744140625,0.29296875,0.70703125,2,1.0,0.6123724356957946,0.3876275643042054,0.0,1.0,0.5192307692307693,0.4807692307692307,0.12048192771084337,0.8795180722891567,1.330875,1.9351875,0.6043125,1.3722543863999817
374,374,audio__original,THE THREE MODES OF MANAGEMENT,5,2,3,MODES,0.2906574308872223,0.2906574308872223,0.290657436822569,0.3529411554336548,0.010380595922470093,1.0303029482056536,0.3529411626408613,0.7163614147794755,0.41384082391703414,1.0,0.388671875,0.611328125,0.56640625,0.43359375,3,1.0,0.4724555912615342,0.5275444087384658,0.0,1.0,0.4716981132075472,0.5283018867924528,0.1951219512195122,0.8048780487804879,0.7965,1.1695625,0.3730625,1.3722543863999817
374,374,audio__original,THE THREE MODES OF MANAGEMENT,5,1,4,THREE,0.013840832747519016,0.013840832747519016,0.013840833030154629,0.3529411554336548,0.010380595922470093,1.0303029482056536,0.3529411626408613,0.7163614147794755,0.41384082391703414,1.0,0.70703125,0.29296875,0.55078125,0.44921875,4,1.0,1.0000000000000002,-2.220446049250313e-16,0.0,1.0,1.0,0.0,0.2765957446808511,0.7234042553191489,0.3829375,0.6654375,0.2825,1.3722543863999817
374,374,audio__original,THE THREE MODES OF MANAGEMENT,5,0,5,THE,0.0,0.0,0.0,0.3529411554336548,0.010380595922470093,1.0303029482056536,0.3529411626408613,0.7163614147794755,0.41384082391703414,1.0,0.365234375,0.634765625,0.3203125,0.6796875,5,1.0,0.7500000000000001,0.2499999999999999,0.0,1.0,0.7272727272727273,0.2727272727272727,0.3516483516483517,0.6483516483516483,0.1619375,0.34275,0.1808125,1.3722543863999817
377,377,audio__original,THE WHOLE OF THIS ITINERARY,5,1,1,WHOLE,0.5159568190574646,0.5159568190574646,0.5159568310350862,0.5159568190574646,0.1088712215423584,1.2674406093938948,0.5159568310350862,0.5888343834099717,0.5679861854460471,0.99609375,0.4765625,0.51953125,0.212890625,0.783203125,1,1.0,0.4564354645876386,0.5435645354123614,0.4767312946227963,0.5232687053772037,0.3673469387755102,0.6326530612244898,0.5,0.5,0.7015625,0.9320625,0.2305,1.395978071799982
377,377,audio__original,THE WHOLE OF THIS ITINERARY,5,0,2,THE,0.4070855975151062,0.4070855975151062,0.407085606965349,0.5159568190574646,0.1088712215423584,1.2674406093938948,0.5159568310350862,0.5888343834099717,0.5679861854460471,0.99609375,0.1982421875,0.7978515625,0.1357421875,0.8603515625,2,1.0,0.08770580193070296,0.912294198069297,0.5262348115842177,0.4737651884157823,0.32727272727272727,0.6727272727272727,0.49523809523809526,0.5047619047619047,0.5091875,0.641375,0.1321875,1.395978071799982
377,377,audio__original,THE WHOLE OF THIS ITINERARY,5,4,3,ITINERARY,0.057923752814531326,0.057923752814531326,0.05792375415919577,0.5159568190574646,0.1088712215423584,1.2674406093938948,0.5159568310350862,0.5888343834099717,0.5679861854460471,0.99609375,0.056884765625,0.939208984375,0.33203125,0.6640625,3,1.0,0.381385035698237,0.618614964301763,0.09128709291752772,0.9087129070824723,0.38596491228070173,0.6140350877192983,0.25263157894736843,0.7473684210526316,1.2828125,2.064375,0.7815625,1.395978071799982
377,377,audio__original,THE WHOLE OF THIS ITINERARY,5,2,4,OF,0.019033806398510933,0.019033806398510933,0.01903380684036909,0.5159568190574646,0.1088712215423584,1.2674406093938948,0.5159568310350862,0.5888343834099717,0.5679861854460471,0.99609375,0.31640625,0.6796875,0.365234375,0.630859375,4,1.0,0.4564354645876386,0.5435645354123614,0.09128709291752772,0.9087129070824723,0.43564356435643564,0.5643564356435644,0.25263157894736843,0.7473684210526316,0.9821875,1.0423125,0.060125,1.395978071799982
377,377,audio__original,THE WHOLE OF THIS ITINERARY,5,3,5,THIS,0.0,0.0,0.0,0.5159568190574646,0.1088712215423584,1.2674406093938948,0.5159568310350862,0.5888343834099717,0.5679861854460471,0.99609375,0.3359375,0.66015625,0.294921875,0.701171875,5,1.0,0.09128709291752772,0.9087129070824723,0.08770580193070296,0.912294198069297,0.25,0.75,0.23404255319148937,0.7659574468085106,1.082375,1.24275,0.160375,1.395978071799982
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,0,1,THERE,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.130859375,0.876953125,0.337890625,0.669921875,1,1.0,0.0,1.0,0.1290994448735806,0.8709005551264194,0.23529411764705882,0.7647058823529411,0.379746835443038,0.620253164556962,0.2406875,0.4610625,0.220375,1.0993787989999266
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,1,2,IS,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.166015625,0.841796875,0.197265625,0.810546875,2,1.0,0.912870929175277,0.08712907082472299,0.2390457218668788,0.7609542781331212,0.9180327868852459,0.08196721311475408,0.3950617283950617,0.6049382716049383,0.491125,0.5813125,0.0901875,1.0993787989999266
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,2,3,ONE,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.2236328125,0.7841796875,0.21875,0.7890625,3,1.0,1.0000000000000002,-2.220446049250313e-16,0.13483997249264842,0.8651600275073515,1.0,0.0,0.5128205128205128,0.4871794871794872,0.6615,0.8519375,0.1904375,1.0993787989999266
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,3,4,I,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.6796875,0.328125,0.29296875,0.71484375,4,1.0,1.0000000000000002,-2.220446049250313e-16,0.2390457218668788,0.7609542781331212,1.0,0.0,0.3950617283950617,0.6049382716049383,0.922125,0.972125,0.05,1.0993787989999266
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,4,5,MUST,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.373046875,0.634765625,0.0634765625,0.9443359375,5,1.0,1.0000000000000002,-2.220446049250313e-16,0.13483997249264842,0.8651600275073515,0.9824561403508771,0.01754385964912286,0.48717948717948717,0.5128205128205128,1.022375,1.20275,0.180375,1.0993787989999266
382,382,audio__original,THERE IS ONE I MUST CONSULT,6,5,6,CONSULT,0.1666666716337204,0.1666666716337204,0.1666666665,0.1666666716337204,0.0,0.9999999940000002,0.1666666665,0.9999999995581107,0.0,1.0078125,0.126953125,0.880859375,0.32421875,0.68359375,6,1.0,0.14907119849998599,0.850928801500014,0.1240347345892085,0.8759652654107914,0.2926829268292683,0.7073170731707317,0.3466666666666667,0.6533333333333333,1.2629375,1.9844375,0.7215,1.0993787989999266
384,384,audio__original,THERE SEEMS TO BE DANGER,5,1,1,SEEMS,0.3083727955818176,0.3083727955818176,0.30837279986855765,0.3083727955818176,0.00024959444999694824,1.0008100443208108,0.30837279986855765,0.8443238126606449,0.2938985749169971,0.99609375,0.6015625,0.39453125,0.515625,0.48046875,1,1.0,0.6900655593423544,0.30993444065764564,0.3580574370197166,0.6419425629802834,0.6530612244897959,0.34693877551020413,0.4536082474226804,0.5463917525773196,0.8568125,1.1895,0.3326875,1.3410299502000271
384,384,audio__original,THERE SEEMS TO BE DANGER,5,2,2,TO,0.3081232011318207,0.3081232011318207,0.30812320541509103,0.3083727955818176,0.00024959444999694824,1.0008100443208108,0.30837279986855765,0.8443238126606449,0.2938985749169971,0.99609375,0.70703125,0.2890625,0.267578125,0.728515625,2,1.0,1.0,0.0,0.5012804118276032,0.4987195881723968,1.0,0.0,0.42105263157894735,0.5789473684210527,1.2298125,1.3063125,0.0765,1.3410299502000271
384,384,audio__original,THERE SEEMS TO BE DANGER,5,4,3,DANGER,0.19338162243366241,0.19338162243366241,0.19338162512189155,0.3083727955818176,0.00024959444999694824,1.0008100443208108,0.30837279986855765,0.8443238126606449,0.2938985749169971,0.99609375,0.279296875,0.716796875,0.302734375,0.693359375,3,1.0,0.28644594961577324,0.7135540503842268,0.6000000000000001,0.3999999999999999,0.36363636363636365,0.6363636363636364,0.34146341463414637,0.6585365853658536,1.5120625,2.17675,0.6646875,1.3410299502000271
384,384,audio__original,THERE SEEMS TO BE DANGER,5,3,4,BE,0.19012236595153809,0.19012236595153809,0.19012236859445977,0.3083727955818176,0.00024959444999694824,1.0008100443208108,0.30837279986855765,0.8443238126606449,0.2938985749169971,0.99609375,0.451171875,0.544921875,0.36328125,0.6328125,4,1.0,0.7807200583588267,0.21927994164117326,0.7348469228349536,0.26515307716504644,0.6301369863013698,0.36986301369863017,0.6588235294117647,0.3411764705882353,1.35075,1.4515625,0.1008125,1.3410299502000271
384,384,audio__original,THERE SEEMS TO BE DANGER,5,0,5,THERE,0.0,0.0,0.0,0.3083727955818176,0.00024959444999694824,1.0008100443208108,0.30837279986855765,0.8443238126606449,0.2938985749169971,0.99609375,0.79296875,0.203125,0.69921875,0.296875,5,1.0,0.8593378488473197,0.14066215115268033,0.5728918992315465,0.4271081007684535,0.7619047619047619,0.23809523809523814,0.6,0.4,0.424,0.72575,0.30175,1.3410299502000271
393,393,audio__original,TIED TO A WOMAN,4,0,1,TIED,0.4736841917037964,0.4736841917037964,0.4736841912301122,0.4736841917037964,0.21052628755569458,1.7999998572614153,0.4736841912301122,0.7621583446128996,0.3552631437778473,0.99609375,0.30859375,0.6875,0.1728515625,0.8232421875,1,1.0,0.3418817293789139,0.6581182706210861,0.6363636363636365,0.36363636363636354,0.3132530120481928,0.6867469879518072,0.7647058823529411,0.23529411764705888,0.422,0.903625,0.481625,1.356773164500055
393,393,audio__original,TIED TO A WOMAN,4,2,2,A,0.2631579041481018,0.2631579041481018,0.26315790388494387,0.4736841917037964,0.21052628755569458,1.7999998572614153,0.4736841912301122,0.7621583446128996,0.3552631437778473,0.99609375,0.70703125,0.2890625,0.431640625,0.564453125,2,1.0,1.0000000000000002,-2.220446049250313e-16,0.0836242010007091,0.9163757989992909,1.0,0.0,0.23529411764705882,0.7647058823529411,1.405625,1.455625,0.05,1.356773164500055
393,393,audio__original,TIED TO A WOMAN,4,3,3,WOMAN,0.2631579041481018,0.2631579041481018,0.26315790388494387,0.4736841917037964,0.21052628755569458,1.7999998572614153,0.4736841912301122,0.7621583446128996,0.3552631437778473,0.99609375,0.337890625,0.658203125,0.52734375,0.46875,3,1.0,0.1672484020014182,0.8327515979985818,0.09090909090909091,0.9090909090909091,0.26,0.74,0.30303030303030304,0.696969696969697,1.506,2.0880625,0.5820625,1.356773164500055
393,393,audio__original,TIED TO A WOMAN,4,1,4,TO,0.0,0.0,0.0,0.4736841917037964,0.21052628755569458,1.7999998572614153,0.4736841912301122,0.7621583446128996,0.3552631437778473,0.99609375,0.357421875,0.638671875,0.2177734375,0.7783203125,4,1.0,0.25087260300212727,0.7491273969978727,0.3344968040028364,0.6655031959971636,0.25,0.75,0.4583333333333333,0.5416666666666667,1.1039375,1.2650625,0.161125,1.356773164500055
394,394,audio__original,TO A MAN REVIEW,4,0,1,TO,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.11181640625,0.88427734375,0.189453125,0.806640625,1,1.0,0.316227766016838,0.683772233983162,0.2886751345948129,0.7113248654051871,0.1111111111111111,0.8888888888888888,0.36666666666666664,0.6333333333333333,0.1005,0.240625,0.140125,1.1874227612499908
394,394,audio__original,TO A MAN REVIEW,4,1,2,A,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.7890625,0.20703125,0.2294921875,0.7666015625,2,1.0,1.0,0.0,0.27735009811261463,0.7226499018873853,1.0,0.0,0.38235294117647056,0.6176470588235294,0.361,0.411,0.05,1.1874227612499908
