row_index,mode,audio_abs_mass,text_abs_mass,total_abs_mass,audio_share
56,ITF_SM2T,0.4639338403940201,0.5360661204904318,0.9999999608844519,0.46393385854104724
56,SM2T,1.0000000409781933,0.0,1.0000000409781933,1.0
56,T2T,0.0,0.9999999664723873,0.9999999664723873,0.0
57,IAF_SM2T,0.4851823429344222,0.514817695133388,1.0000000380678102,0.48518232446459353
57,ITF_SM2T,0.13249216135591269,0.8675077788066119,0.9999999401625246,0.1324921692839096
57,SM2T,0.9999999394640326,0.0,0.9999999394640326,1.0
57,T2T,0.0,0.9999999599531293,0.9999999599531293,0.0
58,IAF_SM2T,0.7183859450742602,0.28161412477493286,1.000000069849193,0.7183858948955851
58,ITF_SM2T,0.20043004071339965,0.7995699066668749,0.9999999473802745,0.20043005125997393
58,SM2T,1.000000003259629,0.0,1.000000003259629,1.0
58,T2T,0.0,0.9999999916180968,0.9999999916180968,0.0
59,IAF_SM2T,0.22930366173386574,0.7706963662058115,1.0000000279396772,0.22930365532719563
59,ITF_SM2T,0.8656763406470418,0.13432365283370018,0.999999993480742,0.8656763462906093
59,SM2T,1.0000000540167093,0.0,1.0000000540167093,1.0
59,T2T,0.0,1.0000000315485522,1.0000000315485522,0.0
60,IAF_SM2T,0.24992820993065834,0.7500717341899872,0.9999999441206455,0.24992822389648617
60,ITF_SM2T,0.13193310052156448,0.8680669516324997,1.0000000521540642,0.13193309364071745
60,SM2T,1.0000000223517418,0.0,1.0000000223517418,1.0
60,T2T,0.0,1.0000000102445483,1.0000000102445483,0.0
61,IAF_SM2T,0.5190344452857971,0.4809654951095581,0.9999999403953552,0.5190344762226627
61,ITF_SM2T,0.1674656830728054,0.8325343206524849,1.0000000037252903,0.16746568244894713
61,SM2T,0.9999999837018549,0.0,0.9999999837018549,1.0
61,T2T,0.0,1.0000000075087883,1.0000000075087883,0.0
62,IAF_SM2T,0.5096023557707667,0.4903976731002331,1.0000000288709998,0.5096023410580376
62,ITF_SM2T,0.39944292418658733,0.6005570362322032,0.9999999604187906,0.399442939997022
62,SM2T,0.9999999701976776,0.0,0.9999999701976776,1.0
62,T2T,0.0,1.0000000588479452,1.0000000588479452,0.0
63,IAF_SM2T,0.6173392552882433,0.3826607745140791,1.0000000298023224,0.6173392368901003
63,ITF_SM2T,0.25445171585306525,0.7455483619123697,1.000000077765435,0.25445169606551843
63,SM2T,1.0000000838190317,0.0,1.0000000838190317,1.0
63,T2T,0.0,0.9999999939464033,0.9999999939464033,0.0
64,IAF_SM2T,0.3752754181623459,0.624724586494267,1.0000000046566129,0.37527541641483353
64,ITF_SM2T,0.593790047802031,0.4062099866569042,1.0000000344589353,0.5937900273406589
64,SM2T,0.999999966705218,0.0,0.999999966705218,1.0
64,T2T,0.0,0.9999999534338713,0.9999999534338713,0.0
65,IAF_SM2T,0.3960286444053054,0.6039713397622108,0.9999999841675162,0.3960286506754226
65,ITF_SM2T,0.38514353707432747,0.6148564480245113,0.9999999850988388,0.3851435428134135
65,SM2T,0.9999999483115971,0.0,0.9999999483115971,1.0
65,T2T,0.0,1.00000006146729,1.00000006146729,0.0
66,IAF_SM2T,0.6016401974484324,0.3983597957412712,0.9999999931897037,0.6016402015457805
66,ITF_SM2T,0.32604843005537987,0.6739515094086528,0.9999999394640326,0.32604844979303815
66,SM2T,1.000000013038516,0.0,1.000000013038516,1.0
66,T2T,0.0,1.0000000186264515,1.0000000186264515,0.0
67,IAF_SM2T,0.8509121323004365,0.1490878900513053,1.0000000223517418,0.8509121132810686
67,ITF_SM2T,0.1571648921817541,0.8428351851180196,1.0000000772997737,0.15716488003294446
67,SM2T,0.9999999580904841,0.0,0.9999999580904841,1.0
