Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,group,level_0,level_1
ITF_SM2T,T2T,4.147423336703539,<0.01,89.0,90.0,0.1416281155549065,True,top_20_mass,modifiers,,
IAF_SM2T,ITF_SM2T,-0.3471368036824451,0.73,77.0,78.0,-0.002127544481295328,False,max,modifiers,,
IAF_SM2T,T2T,-1.4217262347204824,0.16,78.0,79.0,-0.00821226195556029,False,max,modifiers,,
ITF_SM2T,T2T,-1.27624564091852,0.21,89.0,90.0,-0.006825464912172821,False,max,modifiers,,
IAF_SM2T,ITF_SM2T,-1.1472420424196876,0.25,77.0,78.0,-0.07848854402031438,False,entropy,modifiers,,
IAF_SM2T,T2T,-4.93922066860004,<0.01,78.0,79.0,-0.2547953599076049,True,entropy,modifiers,,
ITF_SM2T,T2T,-4.097444917219701,<0.01,89.0,90.0,-0.19293636389547253,True,entropy,modifiers,,
IAF_SM2T,ITF_SM2T,-1.0273304968506811,0.38,3.0,4.0,-0.01145885656781805,False,mean,punctuation,,
IAF_SM2T,T2T,-0.28807121858398366,0.78,8.0,9.0,-0.002097586570825014,False,mean,punctuation,,
ITF_SM2T,T2T,1.9166707639783636,0.08,10.0,11.0,0.009557249744168737,False,mean,punctuation,,
IAF_SM2T,ITF_SM2T,0.8993519918751284,0.43,3.0,4.0,0.08956600030664354,False,gini,punctuation,,
IAF_SM2T,T2T,0.7323561466366428,0.48,8.0,9.0,0.04508638265990891,False,gini,punctuation,,
ITF_SM2T,T2T,-1.5377562346394706,0.16,10.0,11.0,-0.08990390017965465,False,gini,punctuation,,
IAF_SM2T,ITF_SM2T,0.9325718344154789,0.42,3.0,4.0,0.13353022629463013,False,top_20_mass,punctuation,,
IAF_SM2T,T2T,0.8862858237480624,0.4,8.0,9.0,0.14411078628588847,False,top_20_mass,punctuation,,
ITF_SM2T,T2T,0.2601681359319743,0.8,10.0,11.0,0.021521737179057254,False,top_20_mass,punctuation,,
IAF_SM2T,ITF_SM2T,-0.8708589672988635,0.45,3.0,4.0,-0.009867507091257721,False,max,punctuation,,
IAF_SM2T,T2T,-0.05394501309542941,0.96,8.0,9.0,-0.0004247178892708487,False,max,punctuation,,
ITF_SM2T,T2T,1.8811340673430124,0.09,10.0,11.0,0.010780509645965967,False,max,punctuation,,
IAF_SM2T,ITF_SM2T,-0.9935170421801934,0.39,3.0,4.0,-0.19627664533409186,False,entropy,punctuation,,
IAF_SM2T,T2T,-1.0409610896740917,0.33,8.0,9.0,-0.21884326609216706,False,entropy,punctuation,,
ITF_SM2T,T2T,0.5345142158672681,0.6,10.0,11.0,0.08500272144553338,False,entropy,punctuation,,
