row_index,mode,top_sentence_id,sent_abs_mass,total_abs_mass,top_sentence_share
23,ITF_SM2T,0,0.9999999571591616,0.9999999571591616,1.0
23,SM2T,0,0.9999998833518475,0.9999998833518475,1.0
23,T2T,0,1.0000000167638063,1.0000000167638063,1.0
24,IAF_SM2T,0,0.9999999795109034,0.9999999795109034,1.0
24,ITF_SM2T,0,1.0000000363215804,1.0000000363215804,1.0
24,SM2T,0,1.000000026775524,1.000000026775524,1.0
24,T2T,0,0.9999999389983714,0.9999999389983714,1.0
25,IAF_SM2T,0,0.5536815819796175,1.0000000146683306,0.5536815738580332
25,ITF_SM2T,0,1.000000019557774,1.000000019557774,1.0
25,SM2T,0,0.9999999674037099,0.9999999674037099,1.0
25,T2T,0,0.8419786430895329,1.0000000223517418,0.841978624269844
26,IAF_SM2T,0,1.0000000139698386,1.0000000139698386,1.0
26,ITF_SM2T,0,0.8571940837427974,0.9999999932479113,0.8571940895306479
26,SM2T,0,1.0000000795116648,1.0000000795116648,1.0
26,T2T,0,0.9999999654246494,0.9999999654246494,1.0
27,IAF_SM2T,1,0.5252676019445062,0.9999999878928065,0.5252676083040227
27,ITF_SM2T,0,0.9999999823048711,0.9999999823048711,1.0
27,SM2T,0,1.0000000557629392,1.0000000557629392,1.0
27,T2T,0,1.0000000247964635,1.0000000247964635,1.0
28,IAF_SM2T,2,0.5793673023581505,1.0000000558793545,0.5793672699834814
28,ITF_SM2T,0,0.9999999515712261,0.9999999515712261,1.0
28,SM2T,0,1.0000000465661287,1.0000000465661287,1.0
28,T2T,0,0.999999949708581,0.999999949708581,1.0
29,IAF_SM2T,0,0.9999999138526618,0.9999999138526618,1.0
29,ITF_SM2T,0,1.0000000244472176,1.0000000244472176,1.0
29,SM2T,0,1.0000000642612576,1.0000000642612576,1.0
29,T2T,0,0.9999999650754035,0.9999999650754035,1.0
30,IAF_SM2T,0,0.8185205906629562,0.9999999850988388,0.8185206028598637
30,ITF_SM2T,0,1.0000000277068466,1.0000000277068466,1.0
30,SM2T,0,0.9999999850988388,0.9999999850988388,1.0
30,T2T,0,0.9999999953433871,0.9999999953433871,1.0
31,IAF_SM2T,1,0.6136217219755054,0.9999999143183231,0.6136217745516479
31,ITF_SM2T,0,1.0000000074505806,1.0000000074505806,1.0
31,SM2T,0,0.9999999664723873,0.9999999664723873,1.0
31,T2T,0,0.9999999478459358,0.9999999478459358,1.0
32,IAF_SM2T,0,1.0000000377913238,1.0000000377913238,1.0
32,ITF_SM2T,0,0.9999999943538569,0.9999999943538569,1.0
32,SM2T,0,0.9999999850988388,0.9999999850988388,1.0
32,T2T,0,1.0000000055879354,1.0000000055879354,1.0
33,IAF_SM2T,0,0.9999999925494194,0.9999999925494194,1.0
33,ITF_SM2T,0,1.0000000335276127,1.0000000335276127,1.0
33,SM2T,0,0.9999999646097422,0.9999999646097422,1.0
33,T2T,0,0.9999999143183231,0.9999999143183231,1.0
34,IAF_SM2T,0,1.0000000598374754,1.0000000598374754,1.0
34,ITF_SM2T,0,1.0000000237487257,1.0000000237487257,1.0
34,SM2T,0,1.0000000279396772,1.0000000279396772,1.0
34,T2T,0,0.9999999795109034,0.9999999795109034,1.0
35,IAF_SM2T,0,0.5984496772289276,0.9999999403953552,0.5984497128993101
35,ITF_SM2T,0,0.8444635048508644,1.0000000149011612,0.8444634922673778
35,SM2T,0,0.9999999303981895,0.9999999303981895,1.0
35,T2T,0,1.0000000055879354,1.0000000055879354,1.0
36,IAF_SM2T,0,0.9999999515712261,0.9999999515712261,1.0
36,ITF_SM2T,0,1.0000000071013346,1.0000000071013346,1.0
36,SM2T,0,0.9999999542451405,0.9999999542451405,1.0
36,T2T,0,1.0000000479631126,1.0000000479631126,1.0
37,IAF_SM2T,0,0.9999999781102815,0.9999999781102815,1.0
37,ITF_SM2T,0,1.0000000215368345,1.0000000215368345,1.0
37,SM2T,0,1.000000019557774,1.000000019557774,1.0
37,T2T,0,1.000000016298145,1.000000016298145,1.0
38,IAF_SM2T,1,0.5687367022037506,0.9999999888241291,0.5687367085598787
38,ITF_SM2T,0,0.9999999720603228,0.9999999720603228,1.0
38,SM2T,0,1.0000000102445483,1.0000000102445483,1.0
38,T2T,0,1.000000037252903,1.000000037252903,1.0
39,IAF_SM2T,1,0.7290193550288677,0.9999999850988388,0.7290193658921028
39,ITF_SM2T,0,0.9999999310821295,0.9999999310821295,1.0
39,SM2T,0,0.9999999729916453,0.9999999729916453,1.0
39,T2T,1,0.8291280120611191,0.9999999748542905,0.8291280329101317
40,IAF_SM2T,0,0.662166035734117,1.0000000214204192,0.6621660215502433
40,ITF_SM2T,0,1.0000000298023224,1.0000000298023224,1.0
40,SM2T,0,1.000000074505806,1.000000074505806,1.0
40,T2T,0,0.999999925494194,0.999999925494194,1.0
41,IAF_SM2T,0,0.999999922234565,0.999999922234565,1.0
41,ITF_SM2T,0,1.0000000298023224,1.0000000298023224,1.0
41,SM2T,0,1.0000000083819032,1.0000000083819032,1.0
41,T2T,0,0.9999999646097422,0.9999999646097422,1.0
42,IAF_SM2T,1,0.795678436756134,1.0000000037252903,0.7956784337920009
42,ITF_SM2T,0,1.0000000149011612,1.0000000149011612,1.0
42,SM2T,0,1.0000000400468707,1.0000000400468707,1.0
42,T2T,0,1.0000000186264515,1.0000000186264515,1.0
43,IAF_SM2T,0,0.999999966006726,0.999999966006726,1.0
43,ITF_SM2T,0,0.9999999757856131,0.9999999757856131,1.0
43,SM2T,0,1.000000063329935,1.000000063329935,1.0
43,T2T,0,0.9999999986030161,0.9999999986030161,1.0
44,IAF_SM2T,1,0.5224823020398617,0.9999999944120646,0.522482304959459
44,ITF_SM2T,0,1.0000000167638063,1.0000000167638063,1.0
44,SM2T,0,1.0000000670552254,1.0000000670552254,1.0
44,T2T,0,0.9999999832361937,0.9999999832361937,1.0
45,IAF_SM2T,0,0.9999999111751094,0.9999999111751094,1.0
45,ITF_SM2T,0,0.9999999981373549,0.9999999981373549,1.0
45,SM2T,0,1.0000000009313226,1.0000000009313226,1.0
45,T2T,0,1.0000000335276127,1.0000000335276127,1.0
46,IAF_SM2T,0,0.9999999804422259,0.9999999804422259,1.0
46,ITF_SM2T,0,0.9999999906867743,0.9999999906867743,1.0
46,SM2T,0,0.9999999990686774,0.9999999990686774,1.0
46,T2T,0,1.0000000093132257,1.0000000093132257,1.0
47,IAF_SM2T,0,1.0000000087311491,1.0000000087311491,1.0
47,ITF_SM2T,0,1.0000000400468707,1.0000000400468707,1.0
47,SM2T,0,0.9999999664723873,0.9999999664723873,1.0
47,T2T,0,1.0000000298023224,1.0000000298023224,1.0
48,IAF_SM2T,0,1.0000000102445483,1.0000000102445483,1.0
48,ITF_SM2T,0,1.0000000037252903,1.0000000037252903,1.0
48,SM2T,0,0.9999999846331775,0.9999999846331775,1.0
48,T2T,0,0.999999966006726,0.999999966006726,1.0
49,IAF_SM2T,0,0.9999999795109034,0.9999999795109034,1.0
49,ITF_SM2T,0,1.0,1.0,1.0
49,SM2T,0,1.0000000484287739,1.0000000484287739,1.0
49,T2T,0,1.0000000027939677,1.0000000027939677,1.0
50,IAF_SM2T,0,0.9999999543651938,0.9999999543651938,1.0
50,ITF_SM2T,0,0.9999999671708792,0.9999999671708792,1.0
50,SM2T,0,1.0000000218860805,1.0000000218860805,1.0
50,T2T,0,0.9999999748542905,0.9999999748542905,1.0
51,IAF_SM2T,0,1.00000001990702,1.00000001990702,1.0
51,ITF_SM2T,0,0.9999999701976776,0.9999999701976776,1.0
51,SM2T,0,0.999999962747097,0.999999962747097,1.0
51,T2T,0,1.0000000004656613,1.0000000004656613,1.0
52,IAF_SM2T,0,1.0000000298023224,1.0000000298023224,1.0
52,ITF_SM2T,0,1.0000000155996531,1.0000000155996531,1.0
52,SM2T,0,1.0000000416766852,1.0000000416766852,1.0
52,T2T,0,0.9999999213032424,0.9999999213032424,1.0
53,IAF_SM2T,0,1.000000011175871,1.000000011175871,1.0
53,ITF_SM2T,0,1.000000017695129,1.000000017695129,1.0
53,SM2T,0,0.9999999655410647,0.9999999655410647,1.0
53,T2T,0,1.0000000146683306,1.0000000146683306,1.0
54,IAF_SM2T,1,0.51913807913661,0.9999999832361937,0.5191380878393405
54,ITF_SM2T,0,0.9999999748542905,0.9999999748542905,1.0
54,SM2T,0,1.0000000074505806,1.0000000074505806,1.0
54,T2T,0,1.0000000232830644,1.0000000232830644,1.0
55,IAF_SM2T,0,1.0000000046566129,1.0000000046566129,1.0
55,ITF_SM2T,0,0.9999999568390194,0.9999999568390194,1.0
55,SM2T,0,0.9999999767169356,0.9999999767169356,1.0
55,T2T,0,1.0000000243308023,1.0000000243308023,1.0
56,IAF_SM2T,1,0.7081926390528679,0.9999999571591616,0.7081926693924356
56,ITF_SM2T,0,0.9999999608844519,0.9999999608844519,1.0
56,SM2T,0,1.0000000409781933,1.0000000409781933,1.0
56,T2T,0,0.9999999664723873,0.9999999664723873,1.0
57,IAF_SM2T,0,1.0000000380678102,1.0000000380678102,1.0
57,ITF_SM2T,0,0.9999999401625246,0.9999999401625246,1.0
57,SM2T,0,0.9999999394640326,0.9999999394640326,1.0
57,T2T,0,0.9999999599531293,0.9999999599531293,1.0
58,IAF_SM2T,0,1.000000069849193,1.000000069849193,1.0
58,ITF_SM2T,0,0.9294335749000311,0.9999999473802745,0.9294336238065732
58,SM2T,0,1.000000003259629,1.000000003259629,1.0
58,T2T,0,0.9999999916180968,0.9999999916180968,1.0
59,IAF_SM2T,0,1.0000000279396772,1.0000000279396772,1.0
59,ITF_SM2T,0,0.999999993480742,0.999999993480742,1.0
59,SM2T,0,1.0000000540167093,1.0000000540167093,1.0
59,T2T,0,1.0000000315485522,1.0000000315485522,1.0
60,IAF_SM2T,1,0.6267401352524757,0.9999999441206455,0.6267401702743118
60,ITF_SM2T,0,1.0000000521540642,1.0000000521540642,1.0
60,SM2T,0,1.0000000223517418,1.0000000223517418,1.0
60,T2T,0,1.0000000102445483,1.0000000102445483,1.0
61,IAF_SM2T,0,0.9999999403953552,0.9999999403953552,1.0
61,ITF_SM2T,0,1.0000000037252903,1.0000000037252903,1.0
61,SM2T,0,0.9999999837018549,0.9999999837018549,1.0
61,T2T,0,1.0000000075087883,1.0000000075087883,1.0
62,IAF_SM2T,0,1.0000000288709998,1.0000000288709998,1.0
62,ITF_SM2T,0,0.9999999604187906,0.9999999604187906,1.0
62,SM2T,0,0.9999999701976776,0.9999999701976776,1.0
62,T2T,0,1.0000000588479452,1.0000000588479452,1.0
63,IAF_SM2T,0,1.0000000298023224,1.0000000298023224,1.0
63,ITF_SM2T,0,1.000000077765435,1.000000077765435,1.0
63,SM2T,0,1.0000000838190317,1.0000000838190317,1.0
63,T2T,0,0.9999999939464033,0.9999999939464033,1.0
64,IAF_SM2T,0,1.0000000046566129,1.0000000046566129,1.0
64,ITF_SM2T,0,1.0000000344589353,1.0000000344589353,1.0
64,SM2T,0,0.999999966705218,0.999999966705218,1.0
64,T2T,0,0.9999999534338713,0.9999999534338713,1.0
65,IAF_SM2T,0,0.9999999841675162,0.9999999841675162,1.0
65,ITF_SM2T,0,0.9999999850988388,0.9999999850988388,1.0
65,SM2T,0,0.9999999483115971,0.9999999483115971,1.0
65,T2T,0,1.00000006146729,1.00000006146729,1.0
66,IAF_SM2T,0,0.9999999931897037,0.9999999931897037,1.0
66,ITF_SM2T,0,0.9999999394640326,0.9999999394640326,1.0
66,SM2T,0,1.000000013038516,1.000000013038516,1.0
66,T2T,0,1.0000000186264515,1.0000000186264515,1.0
67,IAF_SM2T,0,1.0000000223517418,1.0000000223517418,1.0
67,ITF_SM2T,0,0.6940476167947054,1.0000000772997737,0.6940475631449858
67,SM2T,0,0.9999999580904841,0.9999999580904841,1.0
67,T2T,0,1.0000000086147338,1.0000000086147338,1.0
68,IAF_SM2T,0,0.4191438127309084,0.9999999925494194,0.4191438158537732
68,ITF_SM2T,0,0.999999993480742,0.999999993480742,1.0
68,SM2T,0,0.999999986961484,0.999999986961484,1.0
68,T2T,0,0.8586284159682691,0.9999999697320163,0.8586284419572208
69,IAF_SM2T,0,0.9999999739229679,0.9999999739229679,1.0
69,ITF_SM2T,0,0.999999942490831,0.999999942490831,1.0
69,SM2T,0,0.9999999776482582,0.9999999776482582,1.0
69,T2T,0,0.9999999953433871,0.9999999953433871,1.0
70,IAF_SM2T,0,0.9999999792780727,0.9999999792780727,1.0
70,ITF_SM2T,0,0.8946112841367722,0.9999999236315489,0.8946113524568555
70,SM2T,0,0.9999999587889761,0.9999999587889761,1.0
70,T2T,0,0.9999999899882823,0.9999999899882823,1.0
71,IAF_SM2T,0,1.0000000214204192,1.0000000214204192,1.0
71,ITF_SM2T,0,0.9999999776482582,0.9999999776482582,1.0
71,SM2T,0,1.0000000316649675,1.0000000316649675,1.0
71,T2T,0,1.000000017695129,1.000000017695129,1.0
72,IAF_SM2T,1,0.8556183818727732,0.9999999506399035,0.8556184241061812
72,ITF_SM2T,0,0.9999999983701855,0.9999999983701855,1.0
72,SM2T,0,1.0000000391155481,1.0000000391155481,1.0
