row_index,mode,near_audio_mean,far_audio_mean,near_far_ratio
71,ITF_SM2T,0.0503104974826177,0.04838791203040343,1.0397327632150468
72,IAF_SM2T,0.07616881902019183,0.04479370891515698,1.7004356384679262
72,ITF_SM2T,0.06445834909876187,0.07123852707445621,0.9048242818171585
73,IAF_SM2T,0.03958422256012758,0.06486267330391067,0.6102773836355385
73,ITF_SM2T,0.06485725939273834,0.05176916536875069,1.2528164000618633
74,IAF_SM2T,0.03721445177992185,0.03856283181812614,0.9650342058506314
74,ITF_SM2T,0.03959981041649977,0.04719824499140183,0.8390102306319804
75,IAF_SM2T,0.057221257438262306,0.05379038257524371,1.0637823101026582
75,ITF_SM2T,0.011162479136449596,0.060176529667594215,0.18549556110868967
76,IAF_SM2T,0.0274544358253479,0.03574591076799801,0.768044098883579
76,ITF_SM2T,0.056059446185827255,0.04201840970199555,1.334163919626656
77,IAF_SM2T,,,
77,ITF_SM2T,0.04206679202616215,0.05324647314846516,0.7900390305303197
78,IAF_SM2T,0.06488800887018442,0.05287088826298714,1.2272918235493826
78,ITF_SM2T,0.04407204672073325,0.040876384757991345,1.0781786838680485
79,IAF_SM2T,0.03918051781753699,0.032259471341967584,1.214543084137619
79,ITF_SM2T,0.05581227162232002,0.02752308464712567,2.0278349006248053
80,IAF_SM2T,0.07815927732735872,0.05961033577720324,1.3111698886946712
80,ITF_SM2T,0.04921385987351338,0.04635669409551404,1.061634373043314
81,IAF_SM2T,0.05615383510788282,0.056581219813476004,0.9924465271693588
81,ITF_SM2T,0.06917659069101016,0.05344384284690022,1.2943790529413264
82,IAF_SM2T,0.059263804306586586,0.04883206387360891,1.2136248113281536
82,ITF_SM2T,0.05895960827668508,0.07236676042278607,0.8147332826758095
83,IAF_SM2T,,,
83,ITF_SM2T,0.08510509754220645,0.05180626967921853,1.6427567178167741
84,IAF_SM2T,,,
84,ITF_SM2T,0.13580048084259033,0.12191139161586761,1.113927739167904
85,IAF_SM2T,0.04415632230666233,0.032632732298225164,1.3531297931712198
85,ITF_SM2T,0.0242404459665219,0.06511225737631321,0.3722869847078577
86,IAF_SM2T,0.04376536731918653,0.09546812623739243,0.45842910135159143
86,ITF_SM2T,0.05934114257494608,0.06524407863616943,0.9095253364669256
87,IAF_SM2T,0.15161435243984064,0.09749554842710495,1.555090000356723
87,ITF_SM2T,0.24281385044256845,0.0721289614836375,3.3663849505761223
88,IAF_SM2T,0.11457543695966403,0.07398837528307922,1.5485599801286392
88,ITF_SM2T,0.14551874001820883,0.04153600583473841,3.5034360451914615
89,IAF_SM2T,0.06961613272627194,0.057124247859147465,1.218679200760898
89,ITF_SM2T,0.12373889237642288,0.01655705226585269,7.473485641169886
90,IAF_SM2T,0.023903381486888975,0.03742518671788275,0.6386977215755241
90,ITF_SM2T,0.044885484501719475,0.05531409499235451,0.811465585889312
91,IAF_SM2T,,,
91,ITF_SM2T,0.05904987702767054,0.03278169614951248,1.8013063374314575
92,IAF_SM2T,0.04324087485050162,0.03221748428768478,1.3421555346482594
92,ITF_SM2T,0.05977660479644934,0.04603664843099458,1.2984569214405661
93,IAF_SM2T,,,
93,ITF_SM2T,0.035003985899190106,0.031025057021332413,1.1282488819921777
94,IAF_SM2T,0.11321403334538142,0.07464196874449651,1.5167610829157308
94,ITF_SM2T,0.06715979675451915,0.044373906683176756,1.5134974982598859
95,IAF_SM2T,,,
95,ITF_SM2T,0.031107389368116856,0.04483685263743003,0.6937906551775773
96,IAF_SM2T,0.061312430848677955,0.03258452139561996,1.8816428236701979
96,ITF_SM2T,0.07871399571498235,0.027561490423977375,2.8559411882765393
97,IAF_SM2T,0.0649346982439359,0.08270046008484704,0.7851794074244638
97,ITF_SM2T,0.1290635292728742,0.06101903816064199,2.115135425946563
98,IAF_SM2T,,,
98,ITF_SM2T,0.033278102365632854,0.0415003491592977,0.801875238135807
99,IAF_SM2T,0.05781659732262293,0.036748256534338,1.5733153834665632
99,ITF_SM2T,0.04413621003429095,0.045175535220871955,0.9769936275801374
