index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,pos
109,T2*,S2S,2.3072503297696327,0.02,99,100,0.02992304103472573,False,top_20_mass,PRON
110,T2*,SF2S,0.13964082624371119,0.89,99,100,0.0021933165341248197,False,top_20_mass,PRON
111,T2*,SM2S,-1.0373505283759252,0.3,99,100,-0.0174335924101447,False,top_20_mass,PRON
112,S2*,T2T,-3.9116602293389624,<0.01,99,100,-0.0596007509995174,True,top_20_mass,PRON
113,S2*,T2S,-3.1217540357611018,<0.01,99,100,-0.05206702072359848,False,top_20_mass,PRON
114,*2T,*2S,4.649460220522909,<0.01,99,100,0.03251390511196644,True,top_20_mass,PRON
115,*2T,T2S,-1.588958772101394,0.12,99,100,-0.02430359001472632,False,top_20_mass,PRON
116,*2T,S2S,3.2623539821633813,<0.01,99,100,0.028428882659407222,False,top_20_mass,PRON
117,*2T,SF2S,0.06192354957431779,0.95,99,100,0.0006991581588063083,False,top_20_mass,PRON
118,*2T,SM2S,-1.4530474307776486,0.15,99,100,-0.018927750785463205,False,top_20_mass,PRON
119,*2S,T2T,-4.6627562086422385,<0.01,99,100,-0.06435122540261168,True,top_20_mass,PRON
120,*2S,S2T,-5.926040764781692,<0.01,99,100,-0.05446676436117036,True,top_20_mass,PRON
121,*2S,SF2T,-6.883291288839797,<0.01,99,100,-0.08954033118590549,True,top_20_mass,PRON
122,*2S,SM2T,-6.809520924916487,<0.01,99,100,-0.08777752928495763,True,top_20_mass,PRON
123,T2T,T2S,0.5457030338803486,0.59,99,100,0.007533730275918915,False,top_20_mass,PRON
124,T2T,S2T,0.6478475668468271,0.52,99,100,0.009884461041441321,False,top_20_mass,PRON
125,T2T,SF2T,-1.510044804905326,0.13,99,100,-0.02518910578329385,False,top_20_mass,PRON
126,T2T,SM2T,-1.2798420486634987,0.2,99,100,-0.02342630388234599,False,top_20_mass,PRON
127,T2T,S2S,4.1392079882122825,<0.01,99,100,0.06026620295005247,True,top_20_mass,PRON
128,T2T,SF2S,2.135303117587396,0.04,99,100,0.03253647844945154,False,top_20_mass,PRON
129,T2T,SM2S,0.7256530692139644,0.47,99,100,0.012909569505182027,False,top_20_mass,PRON
130,T2S,S2T,0.1395107265645276,0.89,99,100,0.0023507307655224073,False,top_20_mass,PRON
131,T2S,SF2T,-1.723633569108741,0.09,99,100,-0.03272283605921276,False,top_20_mass,PRON
132,T2S,SM2T,-1.6312622670718995,0.11,99,100,-0.030960034158264906,False,top_20_mass,PRON
133,T2S,S2S,3.2292765385688256,<0.01,99,100,0.05273247267413354,False,top_20_mass,PRON
134,T2S,SF2S,1.374986062770921,0.17,99,100,0.025002748173532624,False,top_20_mass,PRON
135,T2S,SM2S,0.2866296404601398,0.77,99,100,0.005375839229263107,False,top_20_mass,PRON
136,S2T,S2S,5.883476403293182,<0.01,99,100,0.05038174190861114,True,top_20_mass,PRON
137,S2T,SF2S,2.0147016810746483,0.05,99,100,0.022652017408010226,False,top_20_mass,PRON
138,S2T,SM2S,0.24151051669683846,0.81,99,100,0.0030251084637407054,False,top_20_mass,PRON
139,SF2T,SM2T,0.12495825557290581,0.9,99,100,0.0017628019009478652,False,top_20_mass,PRON
140,SF2T,S2S,6.955098991781664,<0.01,99,100,0.08545530873334631,True,top_20_mass,PRON
141,SF2T,SF2S,4.511670591558454,<0.01,99,100,0.05772558423274539,True,top_20_mass,PRON
142,SF2T,SM2S,2.8731179485624923,<0.01,99,100,0.038098675288475874,False,top_20_mass,PRON
143,SM2T,S2S,6.62706896906333,<0.01,99,100,0.08369250683239844,True,top_20_mass,PRON
144,SM2T,SF2S,4.594556428582138,<0.01,99,100,0.05596278233179753,True,top_20_mass,PRON
145,SM2T,SM2S,2.6574609827837725,0.01,99,100,0.036335873387528014,False,top_20_mass,PRON
146,SF2S,SM2S,-1.497448324319813,0.14,99,100,-0.01962690894426952,False,top_20_mass,PRON
147,ALL,T2*,8.922402796571403,<0.01,99,100,0.09483076214790344,True,max,PRON
148,ALL,S2*,4.421949463272572,<0.01,99,100,0.054460657089948655,True,max,PRON
149,ALL,*2T,4.8679081385755785,<0.01,99,100,0.035175283402204514,True,max,PRON
150,ALL,*2S,7.185898906459899,<0.01,99,100,0.06518298283219337,True,max,PRON
151,ALL,T2T,12.917064548081271,<0.01,99,100,0.14495836094021797,True,max,PRON
152,ALL,T2S,11.373085224542049,<0.01,99,100,0.14161742195487023,True,max,PRON
153,ALL,S2T,5.811359088544865,<0.01,99,100,0.07306576430797578,True,max,PRON
154,ALL,SF2T,8.926075102926779,<0.01,99,100,0.11644508361816407,True,max,PRON
155,ALL,SM2T,8.843267587413791,<0.01,99,100,0.11630447149276733,True,max,PRON
156,ALL,S2S,9.101359785049324,<0.01,99,100,0.12016209453344345,True,max,PRON
157,ALL,SF2S,12.95263815580175,<0.01,99,100,0.17154223933815957,True,max,PRON
158,ALL,SM2S,10.83741586736417,<0.01,99,100,0.1528181266784668,True,max,PRON
159,T2*,S2*,-2.1016396939278947,0.04,99,100,-0.04037010505795479,False,max,PRON
160,T2*,S2T,-1.1349234383813154,0.26,99,100,-0.021764997839927674,False,max,PRON
161,T2*,SF2T,1.2586843519277189,0.21,99,100,0.02161432147026062,False,max,PRON
162,T2*,SM2T,1.1647172795264926,0.25,99,100,0.02147370934486389,False,max,PRON
163,T2*,S2S,1.4705920141002855,0.14,99,100,0.025331332385540008,False,max,PRON
164,T2*,SF2S,4.957117318746474,<0.01,99,100,0.07671147719025612,True,max,PRON
165,T2*,SM2S,3.3962699208755596,<0.01,99,100,0.05798736453056336,False,max,PRON
166,S2*,T2T,5.445349451212505,<0.01,99,100,0.09049770385026931,True,max,PRON
167,S2*,T2S,4.48114181592901,<0.01,99,100,0.08715676486492158,True,max,PRON
168,*2T,*2S,2.2315863207073585,0.03,99,100,0.030007699429988863,False,max,PRON
169,*2T,T2S,6.639624852103905,<0.01,99,100,0.10644213855266571,True,max,PRON
170,*2T,S2S,6.875726992512045,<0.01,99,100,0.08498681113123893,True,max,PRON
171,*2T,SF2S,11.776643017761621,<0.01,99,100,0.13636695593595505,True,max,PRON
172,*2T,SM2S,8.465003817923797,<0.01,99,100,0.11764284327626229,True,max,PRON
173,*2S,T2T,6.132889328345741,<0.01,99,100,0.0797753781080246,True,max,PRON
174,*2S,S2T,0.49199725468502586,0.62,99,100,0.007882781475782395,False,max,PRON
175,*2S,SF2T,3.3402720741753815,<0.01,99,100,0.05126210078597069,False,max,PRON
176,*2S,SM2T,3.500261938157706,<0.01,99,100,0.051121488660573956,False,max,PRON
177,T2T,T2S,-0.25360973016738675,0.8,99,100,-0.0033409389853477477,False,max,PRON
178,T2T,S2T,-4.272139996532184,<0.01,99,100,-0.0718925966322422,True,max,PRON
179,T2T,SF2T,-1.9372332054498982,0.06,99,100,-0.028513277322053908,False,max,PRON
180,T2T,SM2T,-1.7138659673742571,0.09,99,100,-0.028653889447450637,False,max,PRON
181,T2T,S2S,-1.6734289021864004,0.1,99,100,-0.02479626640677452,False,max,PRON
182,T2T,SF2S,2.001627086024785,0.05,99,100,0.026583878397941588,False,max,PRON
183,T2T,SM2S,0.5216153637015571,0.6,99,100,0.007859765738248824,False,max,PRON
184,T2S,S2T,-3.5622513907264284,<0.01,99,100,-0.06855165764689446,True,max,PRON
185,T2S,SF2T,-1.4272991015833014,0.16,99,100,-0.025172338336706162,False,max,PRON
186,T2S,SM2T,-1.4087421062570964,0.16,99,100,-0.02531295046210289,False,max,PRON
187,T2S,S2S,-1.220682673864579,0.23,99,100,-0.02145532742142677,False,max,PRON
188,T2S,SF2S,1.826606251272365,0.07,99,100,0.029924817383289337,False,max,PRON
189,T2S,SM2S,0.683685363143051,0.5,99,100,0.011200704723596572,False,max,PRON
190,S2T,S2S,4.20262988582435,<0.01,99,100,0.047096330225467685,True,max,PRON
191,S2T,SF2S,8.404684052033767,<0.01,99,100,0.0984764750301838,True,max,PRON
192,S2T,SM2S,6.024282408337134,<0.01,99,100,0.07975236237049103,True,max,PRON
193,SF2T,SM2T,-0.010988083702784252,0.99,99,100,-0.0001406121253967285,False,max,PRON
194,SF2T,S2S,0.32359176834807757,0.75,99,100,0.0037170109152793885,False,max,PRON
195,SF2T,SF2S,4.92321020427665,<0.01,99,100,0.055097155719995496,True,max,PRON
196,SF2T,SM2S,2.859785687441354,0.01,99,100,0.036373043060302736,False,max,PRON
197,SM2T,S2S,0.3745008784074227,0.71,99,100,0.003857623040676117,False,max,PRON
198,SM2T,SF2S,5.120750011886591,<0.01,99,100,0.05523776784539223,True,max,PRON
199,SM2T,SM2S,2.9428978914871298,<0.01,99,100,0.03651365518569946,False,max,PRON
200,SF2S,SM2S,-1.6042554437286929,0.11,99,100,-0.018724112659692763,False,max,PRON
201,ALL,T2*,7.986666641313229,<0.01,99,100,0.04990884724529566,True,entropy,PRON
202,ALL,S2*,3.103035717392872,<0.01,99,100,0.007950355181123086,False,entropy,PRON
203,ALL,*2T,15.254578630503023,<0.01,99,100,0.029423373267971228,True,entropy,PRON
204,ALL,*2S,10.13047209469481,<0.01,99,100,0.01679708287337939,True,entropy,PRON
205,ALL,T2T,10.713973500276117,<0.01,99,100,0.10941828900632065,True,entropy,PRON
206,ALL,T2S,8.533663115079717,<0.01,99,100,0.10980801386899712,True,entropy,PRON
207,ALL,S2T,9.832303400219482,<0.01,99,100,0.048037675762852575,True,entropy,PRON
208,ALL,SF2T,10.774257487352301,<0.01,99,100,0.10556304881397853,True,entropy,PRON
209,ALL,SM2T,10.921424862139368,<0.01,99,100,0.10405574487871987,True,entropy,PRON
210,ALL,S2S,6.902726958682389,<0.01,99,100,0.02598008617482068,True,entropy,PRON
211,ALL,SF2S,9.543075112438693,<0.01,99,100,0.06700530706821453,True,entropy,PRON
212,ALL,SM2S,10.317852677854765,<0.01,99,100,0.08044521471861918,True,entropy,PRON
213,T2*,S2*,-4.828003818675993,<0.01,99,100,-0.041958492064172556,True,entropy,PRON
