mode,group,mean,gini,top_20_mass,max,entropy
T2T,clausal_structure,0.13590150666423143,0.32370424514543605,0.3773481241621914,0.38438019156455994,0.9330521655102804
T2T,punctuation,0.11312483126918475,0.4271234264508026,0.734565883850879,0.24929292500019073,0.6836957173783985
T2T,coordination,0.07177013903856277,0.5552211541904354,0.5915465320113489,0.21423541009426117,0.7299950171467539
T2T,function_words,0.06348680453134123,0.5394155979983152,0.5074102677428095,0.37691664695739746,0.8900740211349618
T2T,generic,0.05913141742348671,0.22414977834488328,0.7241501574154149,0.08564005047082901,0.8497341137103104
T2S,modifiers,0.1697511899950249,0.41233044336172564,0.44859021120273285,0.9968990087509155,0.939913094587578
T2S,core_structure,0.16973089406112216,0.46258045512717244,0.47321466376836646,0.7793639302253723,0.9307601969404845
T2S,clausal_structure,0.15461958153173327,0.4768948259985452,0.517180560664875,0.599286675453186,0.8694836420233695
T2S,arguments,0.13417820262636038,0.45105000188811545,0.4824695290027761,0.5503885746002197,0.916648379314686
T2S,function_words,0.09173623723828972,0.5157616412323968,0.5033231620328326,0.446740061044693,0.899072323943956
T2S,coordination,0.04152393703245454,0.6732744361449231,0.7478433427406819,0.1964387446641922,0.6093264682900934
T2S,punctuation,0.014090637404782077,0.3071828284198284,0.5049439587478675,0.021344946697354317,0.766394605048189
T2S,generic,0.01027615275233984,0.4999951344131752,1.0,0.02055230550467968,0.0
S2T,clausal_structure,0.19896418115656292,0.3678417427303132,0.41468273636935316,0.4766436517238617,0.9261977207424709
S2T,core_structure,0.18319080098074647,0.45616843389729733,0.44718831920801827,0.6273147463798523,0.9356431429536937
S2T,arguments,0.17257830412948832,0.43385489300638413,0.4329004161460674,0.5716850757598877,0.9245458516160976
S2T,function_words,0.16866060035032648,0.48300647454774154,0.498619907873309,0.8661680221557617,0.9273828325274248
S2T,punctuation,0.1486422987768381,0.4428418008398065,0.4511386837089006,0.4285714030265808,0.9325643185848811
S2T,modifiers,0.13548995865359237,0.5427426575573376,0.5378980951695089,0.6623021960258484,0.907208776467493
S2T,coordination,0.11161133340959038,0.454149268813124,0.5308679190315655,0.3507850468158722,0.8599824334888413
S2T,generic,0.09353529429063201,0.5481615574141828,0.6719193386679639,0.2513926923274994,0.5842207723003947
SF2T,clausal_structure,0.21612954073186433,0.3721120320489172,0.4026526954485895,0.4766436517238617,0.9002242410401167
SF2T,core_structure,0.19702809753865874,0.4353630662230001,0.4400680371296381,0.6047661900520325,0.9337346922254921
SF2T,arguments,0.1737647693531186,0.40811661266807564,0.4249781203380817,0.4243902564048767,0.9196502430313221
SF2T,function_words,0.1603115025460972,0.508034670282587,0.5111462221900878,0.8661680221557617,0.9078897723861163
SF2T,punctuation,0.14262428598069563,0.4538850909421781,0.4742452695759248,0.34677448868751526,0.9161888643122194
SF2T,modifiers,0.12864240761596843,0.5370029329661472,0.5271802137687023,0.6000000238418579,0.8961333974644343
SF2T,coordination,0.127811784190791,0.3473897362629749,0.551282237372449,0.3507850468158722,0.8860684301994165
SF2T,generic,0.04723263159394264,0.4999989414120608,1.0,0.09446526318788528,0.0
SM2T,clausal_structure,0.1817988215812615,0.34702903429251575,0.4015848224167398,0.3858915865421295,0.9177377739701541
SM2T,function_words,0.17700969815455578,0.4572114720843698,0.48727526240798474,0.7618615627288818,0.9263096501533796
SM2T,arguments,0.17139183890585805,0.4569674512283747,0.47731937796965557,0.5716850757598877,0.9027333385970593
SM2T,core_structure,0.16935350442283423,0.47499139850658395,0.466982497309924,0.6273147463798523,0.9202952877570663
SM2T,punctuation,0.1546603115729806,0.4305548722174045,0.45058057064299784,0.4285714030265808,0.9276341098501332
SM2T,modifiers,0.1423375096912163,0.5464276847479707,0.5455207125157798,0.6623021960258484,0.8929320331051446
SM2T,generic,0.13983795698732138,0.39887115762160613,0.8988714428597248,0.2513926923274994,0.4725628608254577
SM2T,coordination,0.09541088262838977,0.5421397116036388,0.6768015709851259,0.3362897038459778,0.7210604078968967
S2S,punctuation,0.19108812738403042,0.349215258601597,0.36052606439813134,0.4285714030265808,0.9550519586508822
S2S,core_structure,0.174970185551629,0.4302013864794103,0.4304657579911823,0.6698960065841675,0.9408450222083083
S2S,arguments,0.16328040504937663,0.45815006008462333,0.4505737459447462,0.49713557958602905,0.9179581459416832
S2S,function_words,0.16199831442822502,0.4485792010514968,0.4503214734679015,0.6000000238418579,0.9354107011157661
S2S,clausal_structure,0.14348275267652102,0.3614865410253596,0.4179796042229092,0.5323715209960938,0.9116250004405562
S2S,modifiers,0.1368316638665939,0.48413826574069735,0.46918616116636563,0.6468824148178101,0.9233999368952348
S2S,coordination,0.12002191276821707,0.40500996770854264,0.4321514411548601,0.2755204439163208,0.8800049722514046
S2S,generic,0.051238085608929396,0.47424250583988564,0.5240779918735434,0.10741101205348969,0.6494369304668265
SF2S,punctuation,0.19598832698652474,0.32651025318938093,0.36044650742907897,0.4285714030265808,0.9539079422808124
SF2S,core_structure,0.17130884049427614,0.4336131429896119,0.43881424272302927,0.6698960065841675,0.9305074010580646
SF2S,function_words,0.1678011158191775,0.4375609275310189,0.44104559561436146,0.529411792755127,0.9295444977410143
SF2S,clausal_structure,0.15862059593200684,0.32581218980118776,0.41105212855753587,0.5323715209960938,0.8961210252306242
SF2S,arguments,0.15453865780842072,0.4729640443270238,0.4807202929883073,0.43897634744644165,0.8972815938484782
SF2S,modifiers,0.13451193481284593,0.44717188498859367,0.44018931388336685,0.393236368894577,0.924679574966303
SF2S,coordination,0.10988686200497406,0.4869885885900611,0.5858318324383911,0.26801222562789917,0.7430103744422796
