,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
68,T2*,SF2T,12.638609507042956,<0.01,324,325,0.15988503792883454,-0.19197313329581167,0.0015408436648890048,0.7,True,True,gini
69,T2*,SM2T,11.89842782725483,<0.01,324,325,0.15394354107315694,-0.19591156963280687,0.0008644711125528192,0.66,True,True,gini
70,T2*,S2S,3.0307721800830807,<0.01,324,325,0.03839731655319647,-0.2635559094067812,0.006797902786507983,0.17,False,True,gini
71,T2*,SF2S,13.725224503694228,<0.01,324,325,0.16874032570473174,-0.21227328889918562,0.0036643534437713365,0.76,True,True,gini
72,T2*,SM2S,13.375481703980135,<0.01,324,325,0.16353382041717793,-0.1695371635302485,0.0024409301924746326,0.74,True,True,gini
73,S2*,T2T,10.010344173989527,<0.01,324,325,0.14131636568071482,0.024838949158533463,0.03206484560743744,0.56,True,True,gini
74,S2*,T2S,10.7088247648074,<0.01,324,325,0.15230008634594144,0.031165560241768198,0.06802936973863646,0.59,True,False,gini
75,*2T,*2S,1.6655596555558807,0.1,422,423,0.015033041397300976,0.9939923198321492,9.326692294642823e-07,0.08,False,True,gini
76,*2T,T2S,14.589672264398043,<0.01,342,343,0.17688336911869387,-0.2599627912669584,0.007639822141103956,0.79,True,True,gini
77,*2T,S2S,8.761691121367067,<0.01,404,405,0.09305396102028796,0.32845179295124804,0.02960270424958565,0.44,True,True,gini
78,*2T,SF2S,22.382891485738302,<0.01,404,405,0.22717154329299466,-0.3183430528679052,0.006692667897593029,1.11,True,True,gini
79,*2T,SM2S,22.029923051765078,<0.01,404,405,0.22299348349434037,-0.07873678375917992,0.004231810930158365,1.09,True,True,gini
80,*2S,T2T,12.454879593763112,<0.01,342,343,0.15788667926491856,-0.36564391188467704,1.4822961790279014e-05,0.67,True,True,gini
81,*2S,S2T,6.755755697250194,<0.01,404,405,0.07879267501753026,0.1054298160886411,0.001264964618772881,0.34,True,True,gini
82,*2S,SF2T,18.5702465985323,<0.01,404,405,0.20493690813570523,-0.26773542908201753,0.00012318843472563533,0.92,True,True,gini
83,*2S,SM2T,17.8246132682966,<0.01,404,405,0.20016904028855653,-0.35289540592928015,0.0004928479126445879,0.89,True,True,gini
84,T2T,T2S,1.297698397907557,0.2,342,343,0.011083460687234242,1.9159698923572215,1.4437002683059083e-15,0.07,False,True,gini
85,T2T,S2T,-4.4791632105121675,<0.01,324,325,-0.05794238922570851,-0.09707990914451825,0.00023154163168975745,-0.25,True,True,gini
86,T2T,SF2T,4.463621707031245,<0.01,324,325,0.051250018958072685,0.5023740632652105,3.5690632199958877e-12,0.25,True,True,gini
87,T2T,SM2T,3.9584746024070108,<0.01,324,325,0.04530852210239506,0.743936655039088,1.0233074564102585e-12,0.22,True,True,gini
88,T2T,S2S,-5.584209883968902,<0.01,324,325,-0.07023770241756543,-0.030661454594512527,7.60422645668429e-06,-0.31,True,True,gini
89,T2T,SF2S,5.459704678639535,<0.01,324,325,0.06010530673396987,0.9399007080474373,1.4115020670632926e-14,0.3,True,True,gini
90,T2T,SM2S,4.9675378010082385,<0.01,324,325,0.05489880144641603,0.6747264627458582,3.58027653228238e-12,0.28,True,True,gini
91,T2S,S2T,-5.167103706110645,<0.01,324,325,-0.06892610989093516,-0.19291953192749878,0.0001443894726310104,-0.29,True,True,gini
92,T2S,SF2T,3.2906884937890646,<0.01,324,325,0.04026629829284604,0.320763489809031,2.6533256091787706e-11,0.18,False,True,gini
93,T2S,SM2T,2.8204222214660555,0.01,324,325,0.0343248014371684,0.36668259320997576,1.1054153049330077e-10,0.16,False,True,gini
94,T2S,S2S,-6.264830742043717,<0.01,324,325,-0.08122142308279208,-0.024472849188121426,1.096481793591468e-05,-0.35,True,True,gini
95,T2S,SF2S,4.1122800800165535,<0.01,324,325,0.04912158606874322,0.3159752211331024,2.0978768628660117e-11,0.23,True,True,gini
96,T2S,SM2S,3.9016749034604143,<0.01,324,325,0.043915080781189386,0.4920002472694769,2.3366225594517216e-12,0.22,True,True,gini
97,S2T,S2S,-0.07933906476062166,0.94,404,405,-0.0008672540257253473,0.4095794088160112,1.4314648089848048e-07,-0.0,False,True,gini
98,S2T,SF2S,13.775093972500944,<0.01,404,405,0.13325032824698138,0.008823243677730908,6.168341887291884e-11,0.68,True,True,gini
99,S2T,SM2S,13.445264145364582,<0.01,404,405,0.12907226844832706,0.1966602862509843,1.4565984027411418e-11,0.67,True,True,gini
100,SF2T,SM2T,-0.7035194182306194,0.48,404,405,-0.004767867847148707,4.260737334419438,1.8388539956926825e-25,-0.03,False,True,gini
101,SF2T,S2S,-12.702042483891569,<0.01,404,405,-0.12701148714390034,-0.059429485822684924,9.29359659999252e-13,-0.63,True,True,gini
102,SF2T,SF2S,1.0438410723086025,0.3,404,405,0.0071060951288063855,4.580575215954206,1.8413271648310103e-25,0.05,False,True,gini
103,SF2T,SM2S,0.40423623644567835,0.69,404,405,0.0029280353301520774,3.8891152678022127,1.0393083639778876e-24,0.02,False,True,gini
104,SM2T,S2S,-12.008805697418058,<0.01,404,405,-0.12224361929675161,-0.14578746551438204,5.071538366806765e-13,-0.6,True,True,gini
105,SM2T,SF2S,1.5233990542357427,0.13,404,405,0.011873962975955095,3.111678329153656,2.31832931110355e-24,0.08,False,True,gini
106,SM2T,SM2S,1.1250433115080984,0.26,404,405,0.007695903177300786,4.460969990852595,6.506237845296601e-25,0.06,False,True,gini
107,SF2S,SM2S,-0.547909763443631,0.58,404,405,-0.004178059798654308,3.6390657480930404,9.034139718377127e-25,-0.03,False,True,gini
108,ALL,T2*,-3.0966783049043864,<0.01,342,343,-0.03478667880051683,2.2788668050028535,1.0919869575009693e-09,-0.17,False,True,top_20_mass
109,ALL,S2*,5.79592159178633,<0.01,404,405,0.048723703533248196,13.533993237554533,7.969554866731053e-24,0.29,True,True,top_20_mass
110,ALL,*2T,-8.412751812258369,<0.01,422,423,-0.07863782011340681,6.69842690117618,1.595736961125603e-15,-0.41,True,True,top_20_mass
111,ALL,*2S,-7.879899124700941,<0.01,422,423,-0.06769538599270077,11.23414702662498,1.2816928412479002e-19,-0.38,True,True,top_20_mass
112,ALL,T2T,-12.702166984957774,<0.01,342,343,-0.19676233336186272,2.6099550991938356,1.2161319805630068e-14,-0.69,True,True,top_20_mass
113,ALL,T2S,-8.94820116257153,<0.01,342,343,-0.16531743209530478,2.388110192959372,2.4642524266574644e-16,-0.48,True,True,top_20_mass
114,ALL,S2T,-5.518251265351701,<0.01,404,405,-0.0752779565361668,5.037358153179865,4.0635454304026767e-19,-0.27,True,True,top_20_mass
115,ALL,SF2T,-13.910136607969259,<0.01,404,405,-0.27987320878537486,2.1008033865783284,1.2606571782605244e-20,-0.69,True,True,top_20_mass
116,ALL,SM2T,-15.977724182930885,<0.01,404,405,-0.30574307816179414,3.094902583191627,1.3312603019195e-21,-0.79,True,True,top_20_mass
117,ALL,S2S,-6.587312069030983,<0.01,404,405,-0.0816084474380835,6.811800378865232,1.531729036086774e-20,-0.33,True,True,top_20_mass
118,ALL,SF2S,-14.690355939760616,<0.01,404,405,-0.2870447372547368,2.261360329004755,3.301716585732439e-20,-0.73,True,True,top_20_mass
119,ALL,SM2S,-14.406904338995506,<0.01,404,405,-0.28818529967190915,2.479914545684732,2.486951246132749e-21,-0.72,True,True,top_20_mass
120,T2*,S2*,6.392884716091705,<0.01,324,325,0.0974305561832086,0.3633146683127384,0.0026731452316676963,0.35,True,True,top_20_mass
