mode,importance,mean,gini,top_20_mass,max,entropy
S2T,1,0.18319080098074647,0.45616843389729733,0.44718831920801827,0.6273147463798523,0.9356431429536937
S2T,3,0.17257830412948832,0.43385489300638413,0.4329004161460674,0.5716850757598877,0.9245458516160976
S2T,5,0.16776141265903502,0.4839541358479805,0.4962240726102048,0.8661680221557617,0.9275419427353777
S2T,6,0.1486422987768381,0.4428418008398065,0.4511386837089006,0.4285714030265808,0.9325643185848811
S2T,4,0.1337860569767333,0.5422729474288096,0.5383425408806701,0.6623021960258484,0.9080901631952861
S2S,6,0.19108812738403042,0.349215258601597,0.36052606439813134,0.4285714030265808,0.9550519586508822
S2S,1,0.174970185551629,0.4302013864794103,0.4304657579911823,0.6698960065841675,0.9408450222083083
S2S,3,0.16328040504937663,0.45815006008462333,0.4505737459447462,0.49713557958602905,0.9179581459416832
S2S,5,0.16055778653045358,0.45007062296276085,0.4480496828405675,0.6000000238418579,0.9353279515368967
S2S,2,0.14348275267652102,0.3614865410253596,0.4179796042229092,0.5323715209960938,0.9116250004405562
S2S,4,0.13565537575632333,0.48408386884712434,0.46972915852555774,0.6468824148178101,0.9239861160496498
S2*,1,0.17908049326618775,0.444169308435523,0.4372853849929432,0.6698960065841675,0.944707694913701
S2*,2,0.17122346691654197,0.38594459795371233,0.4341935358223669,0.5323715209960938,0.9305768294648313
S2*,6,0.16986521308043426,0.3993681416481629,0.40251287422323084,0.4285714030265808,0.9504174999047574
S2*,3,0.16792935458943248,0.44640838190341037,0.4320484250400226,0.5716850757598877,0.931523004733777
S2*,5,0.1641595995947443,0.4684602839382876,0.4728353410418784,0.8661680221557617,0.9387353135574902
S2*,4,0.1347207163665283,0.5145504423939556,0.5038802269622277,0.6623021960258484,0.9252297545254349
*2T,1,0.18489610775158835,0.4544714362122017,0.45208082994697907,0.8254514932632446,0.9422058575756025
*2T,2,0.17268806678475812,0.3766861780935226,0.4218857272859351,0.4766436517238617,0.9360172966988609
*2T,3,0.16765209719999397,0.4424216222619431,0.4427555079077181,0.5753998756408691,0.9317128559679014
*2T,6,0.14800426043837728,0.4437395175567088,0.45609744067443275,0.4285714030265808,0.9326855968476958
*2T,4,0.14029286668973312,0.4912057946692433,0.49629476544185,0.6623021960258484,0.9301723159595187
*2T,5,0.1332309668440121,0.5355502385091321,0.5450116200932934,0.8661680221557617,0.9159903205053181
*2S,6,0.1879085317556607,0.3592815278401351,0.37035022550567087,0.4285714030265808,0.9526116580702666
*2S,1,0.1727730633136745,0.4447218958030938,0.44684673169499645,0.7793639302253723,0.9435238014561217
*2S,3,0.14996769543033728,0.46371883968788374,0.4777356868644054,0.5503885746002197,0.9272776480731542
*2S,2,0.14812309803285947,0.4223732128717858,0.46112617897589436,0.599286675453186,0.912909874557519
*2S,4,0.1469124477056755,0.4627150832554885,0.4657669283260029,0.9968990087509155,0.9362434127047303
*2S,5,0.13732766257172396,0.48847909261740247,0.4829251651640641,0.6000000238418579,0.9292597725101435
