,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
64,*2T,SM2S,5.871994102847157,<0.01,99,100,0.06881635130414367,-0.3265773032104473,0.28666774385562444,0.59,True,False,gini
65,*2S,T2T,-1.3568638292809025,0.18,99,100,-0.01647535661431947,1.590332359611713,0.005657045718061056,-0.14,False,True,gini
66,*2S,S2T,-0.8417623637885348,0.4,99,100,-0.009523098275881423,0.6334306442397946,0.0003531861250446231,-0.08,False,True,gini
67,*2S,SF2T,0.30730090606948374,0.76,99,100,0.003897747090532027,-0.08089648516417203,0.8491298805388285,0.03,False,False,gini
68,*2S,SM2T,0.6228883639356668,0.53,99,100,0.0076967347870686995,-0.33625809334913237,0.1122190727588086,0.06,False,False,gini
69,T2T,T2S,1.0988423657928765,0.27,99,100,0.014343263074123534,0.2592187652286544,0.7709797536454397,0.11,False,False,gini
70,T2T,S2T,0.373728052172085,0.71,99,100,0.006952258338438045,1.2391686682677854,3.296944142308186e-06,0.04,False,True,gini
71,T2T,SF2T,1.1007144250154914,0.27,99,100,0.02037310370485149,0.9983752162161106,1.2088839815735072e-05,0.11,False,True,gini
72,T2T,SM2T,1.2158096354446035,0.23,99,100,0.024172091401388165,0.25916466220957757,0.011145045933610152,0.12,False,True,gini
73,T2T,S2S,2.949238692697693,<0.01,99,100,0.049601254136779405,1.450999702905869,6.252253674037293e-06,0.29,False,True,gini
74,T2T,SF2S,4.258602047350502,<0.01,99,100,0.07288275673065292,0.7687216858809416,0.001668059988260912,0.43,True,True,gini
75,T2T,SM2S,2.949930841406355,<0.01,99,100,0.05421947762572406,0.5780895005535944,0.00015696113975221683,0.29,False,True,gini
76,T2S,S2T,-0.3736508259470748,0.71,99,100,-0.007391004735685489,1.2951040968212402,1.891730792033508e-06,-0.04,False,True,gini
77,T2S,SF2T,0.2967899572566814,0.77,99,100,0.006029840630727964,0.5696712637975514,0.00022763994027732033,0.03,False,True,gini
78,T2S,SM2T,0.48570133825636636,0.63,99,100,0.00982882832726464,0.8362199204425984,0.00038154585200004333,0.05,False,True,gini
79,T2S,S2S,1.8713723910794555,0.06,99,100,0.035257991062655876,0.8049879203979482,0.0031201621245279814,0.19,False,True,gini
80,T2S,SF2S,2.966357868583622,<0.01,99,100,0.05853949365652939,0.2434315167536072,0.20946581157482716,0.3,False,False,gini
81,T2S,SM2S,2.052784073780099,0.04,99,100,0.03987621455160052,0.6506880971422566,0.016846395488559696,0.21,False,True,gini
82,S2T,S2S,4.971795493422201,<0.01,99,100,0.04264899579834136,0.14422279939310512,0.24239624867378978,0.5,True,False,gini
83,S2T,SF2S,6.183518240613738,<0.01,99,100,0.06593049839221489,-0.14550328733100137,0.2294992271000945,0.62,True,False,gini
84,S2T,SM2S,4.24336493370218,<0.01,99,100,0.047267219287286014,-0.07169126299171014,0.2512982480140414,0.42,True,False,gini
85,SF2T,SM2T,0.2856630598637962,0.78,99,100,0.0037989876965366727,0.4902917602273482,0.16035014854305085,0.03,False,False,gini
86,SF2T,S2S,2.7440311057586415,0.01,99,100,0.02922815043192791,0.6071091848738566,0.011108018237292528,0.27,False,True,gini
87,SF2T,SF2S,4.266643227790828,<0.01,99,100,0.05250965302580142,0.6785578018216252,0.042455155346201486,0.43,True,True,gini
88,SF2T,SM2S,2.6572566377103097,0.01,99,100,0.033846373920872565,-0.4078060870676272,0.5510864564653049,0.27,False,False,gini
89,SM2T,S2S,2.47435863928381,0.02,99,100,0.02542916273539124,-0.23048036199542743,0.8161818084227214,0.25,False,False,gini
90,SM2T,SF2S,4.065780640867354,<0.01,99,100,0.048710665329264755,-0.5009147716979148,0.06371133832650049,0.41,True,False,gini
91,SM2T,SM2S,2.379858535994361,0.02,99,100,0.03004738622433589,0.5128664485772609,0.4359117617014012,0.24,False,False,gini
92,SF2S,SM2S,-1.4126038219616812,0.16,99,100,-0.018663279104928866,0.27235827925061606,0.7751811198303491,-0.14,False,False,gini
93,ALL,T2*,-3.1059471361855358,<0.01,99,100,-0.03196198101020304,1.9568988773732325,0.00020766210890122065,-0.31,False,True,top_20_mass
94,ALL,S2*,-0.6094576935405456,0.54,99,100,-0.002704391926012357,0.297101266992716,0.016196849268363393,-0.06,False,True,top_20_mass
95,ALL,*2T,-7.512833939181325,<0.01,99,100,-0.030467822634884522,0.1553282633604276,0.3567440223995795,-0.75,True,False,top_20_mass
96,ALL,*2S,0.4769979847952182,0.63,99,100,0.0020460824770819116,-0.46097348396573157,0.07622368644139205,0.05,False,False,top_20_mass
97,ALL,T2T,-5.041658712284701,<0.01,99,100,-0.06230514292552977,0.7512319717215616,0.018559519273997814,-0.5,True,True,top_20_mass
98,ALL,T2S,-4.0745357943101155,<0.01,99,100,-0.054771412649610836,2.1131082867266775,0.005285713173121427,-0.41,True,True,top_20_mass
99,ALL,S2T,-8.430550272202376,<0.01,99,100,-0.052420681884088445,-0.06048891591252037,0.4752453081756536,-0.84,True,False,top_20_mass
100,ALL,SF2T,-8.184737095827796,<0.01,99,100,-0.08749424870882364,0.17440836715706487,0.009349058367875826,-0.82,True,True,top_20_mass
101,ALL,SM2T,-7.649876391575027,<0.01,99,100,-0.08573144680787576,-0.6180289575193743,0.036096845359057925,-0.76,True,True,top_20_mass
102,ALL,S2S,-0.3216623470473618,0.75,99,100,-0.0020389399754773057,0.07238943716903545,0.9418265777202525,-0.03,False,False,top_20_mass
103,ALL,SF2S,-2.949605995025749,<0.01,99,100,-0.029768664476078212,0.3022776576461612,0.06234779359207463,-0.29,False,False,top_20_mass
104,ALL,SM2S,-4.411213067137925,<0.01,99,100,-0.049395573420347734,0.6084161832626274,0.5117765612301762,-0.44,True,False,top_20_mass
105,T2*,S2*,2.136643177121062,0.04,99,100,0.02925758908419068,2.1498246310173528,7.93739277578242e-06,0.21,False,True,top_20_mass
106,T2*,S2T,-1.4427883102876669,0.15,99,100,-0.02045870087388541,1.0092609376767294,0.0037648023575193737,-0.14,False,True,top_20_mass
107,T2*,SF2T,-3.2838549435437865,<0.01,99,100,-0.055532267698620574,0.28257243442456614,0.4008364053377248,-0.33,False,False,top_20_mass
108,T2*,SM2T,-3.001438959226645,<0.01,99,100,-0.05376946579767271,-0.04739181725681796,0.5250966778425543,-0.3,False,False,top_20_mass
109,T2*,S2S,2.3072503297696327,0.02,99,100,0.02992304103472573,0.7242025973044997,0.1524171452989489,0.23,False,False,top_20_mass
110,T2*,SF2S,0.13964082624371119,0.89,99,100,0.0021933165341248197,0.4913271545469282,0.4086648641956485,0.01,False,False,top_20_mass
111,T2*,SM2S,-1.0373505283759252,0.3,99,100,-0.0174335924101447,0.13354085100543767,0.9110078683223222,-0.1,False,False,top_20_mass
112,S2*,T2T,-3.9116602293389624,<0.01,99,100,-0.0596007509995174,0.5349368072395788,0.0012715016809977512,-0.39,True,True,top_20_mass
113,S2*,T2S,-3.1217540357611018,<0.01,99,100,-0.05206702072359848,2.2227031133010327,0.000525308031200302,-0.31,False,True,top_20_mass
114,*2T,*2S,4.649460220522909,<0.01,99,100,0.03251390511196644,0.1885302718918629,0.6690013741287315,0.46,True,False,top_20_mass
115,*2T,T2S,-1.588958772101394,0.12,99,100,-0.02430359001472632,2.381672775722371,0.0007476635329250246,-0.16,False,True,top_20_mass
116,*2T,S2S,3.2623539821633813,<0.01,99,100,0.028428882659407222,0.8651190559008035,0.1879420555667255,0.33,False,False,top_20_mass
117,*2T,SF2S,0.06192354957431779,0.95,99,100,0.0006991581588063083,0.753139574302665,0.10247203597790508,0.01,False,False,top_20_mass
118,*2T,SM2S,-1.4530474307776486,0.15,99,100,-0.018927750785463205,1.2320607503486798,0.0917588695979624,-0.15,False,False,top_20_mass
119,*2S,T2T,-4.6627562086422385,<0.01,99,100,-0.06435122540261168,1.015855826181567,0.0018093997458944794,-0.47,True,True,top_20_mass
120,*2S,S2T,-5.926040764781692,<0.01,99,100,-0.05446676436117036,-0.17286032157712627,0.6666518086382688,-0.59,True,False,top_20_mass
121,*2S,SF2T,-6.883291288839797,<0.01,99,100,-0.08954033118590549,0.49070601829302474,0.05312379896230092,-0.69,True,False,top_20_mass
122,*2S,SM2T,-6.809520924916487,<0.01,99,100,-0.08777752928495763,-0.5446307361379734,0.3055488285726025,-0.68,True,False,top_20_mass
123,T2T,T2S,0.5457030338803486,0.59,99,100,0.007533730275918915,0.9205627189798187,0.1917234438104144,0.05,False,False,top_20_mass
