mode,language,group,mean,gini,top_20_mass,max,entropy
S2T,fr,core_structure,0.09226449026859232,0.470660496694345,0.4743421549227637,0.4075641632080078,0.9120261938624415
S2T,fr,modifiers,0.0885569756935266,0.4210125242038348,0.4543741442275169,0.39755019545555115,0.9333053779450701
S2T,fr,punctuation,0.0853037548643586,0.3540816104206539,0.3872106790892554,0.21654079854488373,0.9345347861818677
S2T,fr,coordination,0.07958882660816678,0.3991953606621418,0.4733064656025065,0.25780755281448364,0.9098610608219793
S2T,fr,generic,0.07551137674599886,0.3936454449305902,0.3957977389942601,0.18327948451042175,0.8592510859851348
S2T,fr,arguments,,,,,
SF2T,en,coordination,0.134739195721017,0.3132975666030812,0.4339007594079064,0.3295166790485382,0.9260550053280737
SF2T,en,core_structure,0.1305782275531552,0.4158549153899332,0.457056573782495,0.5778305530548096,0.9241360264821946
SF2T,en,arguments,0.11365935907122635,0.4070157668713998,0.49227439091432895,0.3480481505393982,0.9086698785358396
SF2T,en,clausal_structure,0.11051349891625394,0.38883612439733023,0.4250697625246503,0.29765596985816956,0.9047240515495394
SF2T,en,function_words,0.08562687712118906,0.4278605451487777,0.4621407699933933,0.40304338932037354,0.9273082796107834
SF2T,en,punctuation,0.08462905701856281,0.3310237363975576,0.3952430812505003,0.19335538148880005,0.9448233111797762
SF2T,en,modifiers,0.08365211788372233,0.4090012601412421,0.417262582676029,0.2856123447418213,0.9207349525555613
SF2T,en,generic,0.0361162219196558,0.04789504643171369,0.5478951790453811,0.03957580775022507,0.9933709050199043
SF2T,es,function_words,0.09322690416247316,0.4104654821048112,0.4396822278078702,0.3144243657588959,0.9359458752961103
SF2T,es,modifiers,0.0931300556413979,0.4431926751603378,0.49183965657762013,0.35085055232048035,0.9132266163486457
SF2T,es,core_structure,0.09051202671668891,0.43225839933670585,0.4352586524268773,0.3507973253726959,0.9102786141076246
SF2T,es,punctuation,0.08991642930926994,0.45142234495576494,0.47441657613546523,0.42968738079071045,0.8974577872572356
SF2T,es,clausal_structure,0.08829916110262274,0.4193325978901323,0.4402644522922928,0.29985854029655457,0.8816196708912823
SF2T,es,coordination,0.08030152876073351,0.33094860611161864,0.41747859460517767,0.17116963863372803,0.9150627964251036
SF2T,es,arguments,,,,,
SF2T,es,generic,,,,,
SF2T,fr,clausal_structure,0.13138008366028467,0.3369699138650101,0.4399846428148976,0.4259113669395447,0.9378695720690344
SF2T,fr,function_words,0.09843572639305183,0.4428148202862444,0.48922289021177734,0.42059624195098877,0.9264302756757845
SF2T,fr,modifiers,0.09598105540499091,0.4446747259510812,0.4766155288016911,0.39755019545555115,0.9149856074433684
SF2T,fr,core_structure,0.09226865070273302,0.46453564037309725,0.48238940637155475,0.4075641632080078,0.8995266018011259
SF2T,fr,punctuation,0.06864349230339653,0.36155768901197055,0.3801406496320275,0.13150708377361298,0.9037355380977645
SF2T,fr,coordination,0.06648402769033881,0.37247727290121807,0.5036824562408162,0.13419626653194427,0.8871119604989997
SF2T,fr,generic,0.04226333610713482,0.544732190043016,0.504219157623921,0.10654991865158081,0.6153650776465194
SF2T,fr,arguments,,,,,
