index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,pos,level_0,Lang_1,Lang_2
48,T2T,S2T,-1.0901685878687555,0.29,26.0,27.0,-0.10703280634113684,-0.07095587273562032,0.004686731522774078,-0.21,False,True,entropy,VERB,,en,en
49,T2T,SF2T,2.3647086797671792,0.03,26.0,27.0,0.2943309050157705,-0.7178975569090298,0.0006987879966827462,0.46,False,True,entropy,VERB,,en,en
50,T2T,SM2T,2.5891485116009334,0.02,26.0,27.0,0.2994736001225323,-0.7317731807228505,0.0008104272197643319,0.5,False,True,entropy,VERB,,en,en
51,T2T,S2T,-1.2530947585336742,0.22,24.0,25.0,-0.10212803061088654,0.8914073617693101,0.0568026265917441,-0.25,False,False,entropy,VERB,,es,es
52,T2T,SF2T,1.4920359130387568,0.15,24.0,25.0,0.2026598132050189,-1.011889678934636,0.01176570753605771,0.3,False,True,entropy,VERB,,es,es
53,T2T,SM2T,2.4394685087191954,0.02,24.0,25.0,0.28194782459249773,-0.8196493061334258,0.01158296218040093,0.49,False,True,entropy,VERB,,es,es
54,T2T,S2T,-2.0350829109687276,0.05,22.0,23.0,-0.2047442513063878,0.23499051767856116,0.0748109452578535,-0.42,False,False,entropy,VERB,,fr,fr
55,T2T,SF2T,-0.27525326808552203,0.79,22.0,23.0,-0.0293965960989849,0.11291719508765219,0.05053847617153612,-0.06,False,False,entropy,VERB,,fr,fr
56,T2T,SM2T,0.33134056325592337,0.74,22.0,23.0,0.04242228150543363,-0.8357565940713392,0.1382134040117976,0.07,False,False,entropy,VERB,,fr,fr
57,SF2T,SM2T,0.056619108631665506,0.96,27.0,28.0,0.00495902742437747,1.4012923424800672,7.923274014922225e-06,0.01,False,True,entropy,VERB,,en,en
58,SF2T,SM2T,0.6955623611520569,0.49,25.0,26.0,0.07616177305963155,-0.045555600880257785,0.0008026690851084397,0.14,False,True,entropy,VERB,,es,es
59,SF2T,SM2T,0.2868182932402179,0.78,25.0,26.0,0.025070545573139442,1.6331568596005122,8.292754029733063e-05,0.06,False,True,entropy,VERB,,fr,fr
0,T2T,S2T,-3.3891696264671,<0.01,22.0,23.0,-0.03933223591361573,0.5414880182002917,0.21397271512127908,-0.71,False,False,mean,DET,,en,en
1,T2T,SF2T,-2.734991005486747,0.01,22.0,23.0,-0.04859156326890207,3.7068605743894345,0.0007489347667437174,-0.57,False,True,mean,DET,,en,en
2,T2T,SM2T,-1.9684743856659535,0.06,22.0,23.0,-0.030072908558329375,3.1326538639465955,0.012681935784644159,-0.41,False,True,mean,DET,,en,en
3,T2T,S2T,-4.663428229888901,<0.01,26.0,27.0,-0.05870067832591214,-0.12849504091781982,0.5434358146248015,-0.9,True,False,mean,DET,,es,es
4,T2T,SF2T,-3.832061064783115,<0.01,26.0,27.0,-0.0590054138174085,0.5589786906580807,0.28606537090710366,-0.74,True,False,mean,DET,,es,es
5,T2T,SM2T,-4.205194957908964,<0.01,26.0,27.0,-0.05839594283441576,2.4635358466824115,0.027149394105133572,-0.81,True,True,mean,DET,,es,es
6,T2T,S2T,-3.1991124368586976,<0.01,26.0,27.0,-0.044139910634419,0.8742228988240179,0.6324062216764259,-0.62,False,False,mean,DET,,fr,fr
7,T2T,SF2T,-2.167242494539621,0.04,26.0,27.0,-0.04070336681462551,2.753926936563418,0.06280911332399879,-0.42,False,False,mean,DET,,fr,fr
