mode,language,importance,mean,gini,top_20_mass,max,entropy
SM2T,es,2.0,0.06725180819630623,0.5107737692244709,0.5084226355115878,0.267208993434906,0.8214526601074045
SM2T,en,2.0,0.12904337379395178,0.41806225442584394,0.4868358298327253,0.364215612411499,0.8954538282670638
SM2T,en,1.0,0.12353430652240319,0.42883706453742954,0.47282860833535667,0.5717074871063232,0.9184765108301358
SM2T,en,5.0,0.0940838250797242,0.3933865284279865,0.4218385430732491,0.3667634427547455,0.937274030602794
SM2T,en,3.0,0.09330161273967297,0.4826124056501013,0.5638282977048178,0.3820876479148865,0.8636130437283569
SM2T,en,4.0,0.08559235414577415,0.4528057243597858,0.45668336729624887,0.37109142541885376,0.911221523067216
SM2T,en,6.0,0.07036451149601923,0.30323348400944694,0.3522747767945583,0.15013404190540314,0.9544651135430166
SF2T,fr,2.0,0.13138008366028467,0.3369699138650101,0.4399846428148976,0.4259113669395447,0.9378695720690344
SF2T,fr,5.0,0.09604256508561472,0.4467256997016368,0.48771571469378594,0.42059624195098877,0.9254725201345393
SF2T,fr,1.0,0.09226865070273302,0.46453564037309725,0.48238940637155475,0.4075641632080078,0.8995266018011259
SF2T,fr,4.0,0.09049640940502286,0.44844891803767695,0.47504342656950893,0.39755019545555115,0.9157890779330472
SF2T,fr,6.0,0.06864349230339653,0.36155768901197055,0.3801406496320275,0.13150708377361298,0.9037355380977645
SF2T,es,5.0,0.09297835047106708,0.4060682267414316,0.4293294483472821,0.3144243657588959,0.9381934702921522
SF2T,es,4.0,0.09086223321519943,0.4370084934314276,0.48106490631173576,0.35085055232048035,0.9166882444338879
SF2T,es,1.0,0.09051202671668891,0.43225839933670585,0.4352586524268773,0.3507973253726959,0.9102786141076246
SF2T,es,6.0,0.08991642930926994,0.45142234495576494,0.47441657613546523,0.42968738079071045,0.8974577872572356
SF2T,es,2.0,0.08829916110262274,0.4193325978901323,0.4402644522922928,0.29985854029655457,0.8816196708912823
SF2T,en,1.0,0.1305782275531552,0.4158549153899332,0.457056573782495,0.5778305530548096,0.9241360264821946
SF2T,en,3.0,0.11365935907122635,0.4070157668713998,0.49227439091432895,0.3480481505393982,0.9086698785358396
SF2T,en,2.0,0.11051349891625394,0.38883612439733023,0.4250697625246503,0.29765596985816956,0.9047240515495394
SF2T,en,5.0,0.08759603531410297,0.416351223962514,0.4515991177138938,0.40304338932037354,0.9320391689327906
SF2T,en,4.0,0.08642733468150254,0.4234752538471304,0.43093888181135276,0.3295166790485382,0.9199292065166917
SF2T,en,6.0,0.08462905701856281,0.3310237363975576,0.3952430812505003,0.19335538148880005,0.9448233111797762
S2T,fr,2.0,0.13018798196895254,0.3679554761562546,0.4276397446639882,0.4298095405101776,0.9417541457909644
S2T,fr,5.0,0.0967196840005705,0.4336707068873534,0.46549113284181903,0.42059624195098877,0.9374236150123106
S2T,fr,1.0,0.09226449026859232,0.470660496694345,0.4743421549227637,0.4075641632080078,0.9120261938624415
S2T,fr,4.0,0.08703786078124093,0.4161547198503588,0.4484774690707673,0.39755019545555115,0.9369382088508065
S2T,fr,6.0,0.0853037548643586,0.3540816104206539,0.3872106790892554,0.21654079854488373,0.9345347861818677
S2T,es,1.0,0.09609509616429747,0.4459042520219156,0.4601091656200013,0.37277865409851074,0.9216552922179807
S2T,es,5.0,0.09456026115771642,0.4079300293593507,0.42670136499759087,0.36307787895202637,0.9449276748993879
S2T,es,4.0,0.08824277894182747,0.4461054837211288,0.4746343338159544,0.35085055232048035,0.9265959659451246
S2T,es,6.0,0.085326747995658,0.437778093662133,0.4625444021048341,0.42968738079071045,0.9196775817312575
S2T,es,2.0,0.07777548464946449,0.4695658123169528,0.4751906307788534,0.29985854029655457,0.882333620554148
S2T,en,1.0,0.1270562670377792,0.42313787832576627,0.4543264964020297,0.5778305530548096,0.9324319723375913
S2T,en,2.0,0.11977843635510285,0.40861458368670045,0.4583416182691536,0.364215612411499,0.9180136983401969
S2T,en,3.0,0.10348048590544966,0.4481157084508545,0.49604460891528157,0.3820876479148865,0.9077650249899946
S2T,en,5.0,0.09083993019691358,0.4067072290661273,0.4371705359617016,0.40304338932037354,0.9433367115621332
S2T,en,4.0,0.08600984441363835,0.4390066410297526,0.4437486429145513,0.37109142541885376,0.9276517133910407
S2T,en,6.0,0.07749678425729102,0.32422239130564495,0.38088251658380057,0.19335538148880005,0.9561533914013418
